Country,Embassy Name,Embassy Address,Google Maps URL
Lebanon,Embassy of Brazil,"VFWX+6XR, Beirut, Lebanon",https://www.google.com/maps/place/?q=place_id:ChIJrYaEvMoXHxURRYC79unVlJs
Lebanon,"Brazil Visa Application Center in Beirut, Lebanon","VGC8+H27, Beirut, Lebanon",https://www.google.com/maps/place/?q=place_id:ChIJAWH3xqsXHxUR0QXjwBc2e1Y
Liberia,Embassy of Brazil,"76R9+876, 13th Street, Monrovia, Liberia",https://www.google.com/maps/place/?q=place_id:ChIJx4MlnmUDCg8RTdXpzdRl7IU
Saint Lucia,Embassy of Brazil,"4th Floor, Mardini Bldg, Rodney Bay, Gros Islet, St. Lucia",https://www.google.com/maps/place/?q=place_id:ChIJX9JDTZtCQIwRYZK2LaKFP0w
Sri Lanka,Embassy of Brazil,"42/1 Horton Pl, Colombo 00700, Sri Lanka",https://www.google.com/maps/place/?q=place_id:ChIJq6payHBZ4joR9oVIrvFTRU8
Morocco,Brazilian Embassy in Morocco,"38 Rue Mohamed Bahraoui, Rabat 10220, Morocco",https://www.google.com/maps/place/?q=place_id:ChIJA6P2ajUTpw0RwC12b0Q3X_g
Monaco,Consulate of Brazil,"14 , quai Antoine Ier, 98000 Monaco",https://www.google.com/maps/place/?q=place_id:ChIJcaoqmo7CzRIRRAfxU1P0Dw4
Mexico,Consulate of Brazil,"Av. Paseo de las Palmas 215-4o piso, Oficina 405, Lomas - Virreyes, Lomas de Chapultepec III Secc, Miguel Hidalgo, 11000 Ciudad de México, CDMX, Mexico",https://www.google.com/maps/place/?q=place_id:ChIJn-H6yB8C0oUR5xVjsuXYK60
Myanmar,Embassy Of Brazil,"42, Pyidaungzu Yeiktha Street, Yangon, Myanmar (Burma)",https://www.google.com/maps/place/?q=place_id:ChIJERMAjW7rwTAROX8vGTETN3A
Mozambique,Embassy of Brazil,"2JR2+F46, Av. Kenneth Kaunda, Maputo, Mozambique",https://www.google.com/maps/place/?q=place_id:ChIJqcoQiLSb5h4RIWuIyAjBfIc
Mauritania,Brazilian Embassy,"RE nº 502, Nouakchott, Mauritania",https://www.google.com/maps/place/?q=place_id:ChIJu0AelERNlg4R6Xj2T5ZcuXw
Malawi,Embassy of Brazil,"Plot 399, Lilongwe, Malawi",https://www.google.com/maps/place/?q=place_id:ChIJ-aVmCsssIBkR2tg2o75MWqA
Malaysia,Embassy of Brazil,"Suite 20-01, 20th Floor, Menara Tan & Tan, 207, Jln Tun Razak, 50400 Kuala Lumpur, Malaysia",https://www.google.com/maps/place/?q=place_id:ChIJeY2Vh843zDERar5Rbf_LzRQ
Namibia,Brazilian Embassy,"52 Bismarck Street, Windhoek, Namibia",https://www.google.com/maps/place/?q=place_id:ChIJKfEHfkAbCxwRTJSFiVmWv80
Niger,Embassy of Brazil,"324 Diplomatic Dr, Central Business Dis 900103, Abuja, Federal Capital Territory, Nigeria",https://www.google.com/maps/place/?q=place_id:ChIJjUG8I3ELThARMlOFPNUAEik
Nigeria,Embassy of Brazil,"324 Diplomatic Dr, Central Business Dis 900103, Abuja, Federal Capital Territory, Nigeria",https://www.google.com/maps/place/?q=place_id:ChIJjUG8I3ELThARMlOFPNUAEik
