Country,Embassy Name,Embassy Address,Google Maps URL
Lao People's Democratic Republic,Embassy of Egypt,"Basel St 54, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJw6AW54xLHRURtACrj2iQlVE
Lebanon,Egyptian Embassy السفارة المصرية,"VFCV+JG3, Beirut, Lebanon",https://www.google.com/maps/place/?q=place_id:ChIJ2YHR2kYXHxURrBRMoJNdEwY
Liberia,Embassy of Egypt,"76QF+8VW, Payne Ave, Monrovia, Liberia",https://www.google.com/maps/place/?q=place_id:ChIJj128-pgCCg8Rr3ovA0acTdc
Libya,Egyptian Consulate,"4385+5QR, 23rd July Rd, Benghazi, Libya",https://www.google.com/maps/place/?q=place_id:ChIJt9ce0TIcgxMRIAUgHF3q0zI
Libya,Egyptian Embassy,"V5VV+FH6, Zawiyat al Dahmani St, Tripoli, Libya",https://www.google.com/maps/place/?q=place_id:ChIJwzdyc7-SqBMRufo4Yy7r8iY
Liechtenstein,"Consulate General of Egypt in Eilat, Israel","Efroni St 68, Eilat, Israel",https://www.google.com/maps/place/?q=place_id:ChIJH-tglRtyABURIcEGGv7E6SM
Sri Lanka,Embassy of the Arab Republic of Egypt,"39 Dr Lester James Peries Mawatha, Colombo 00500, Sri Lanka",https://www.google.com/maps/place/?q=place_id:ChIJEwx9JsVb4joRXP8Cap9qdYw
Sri Lanka,Embassy of Egypt,"14 Bullers Ln, Colombo 00700, Sri Lanka",https://www.google.com/maps/place/?q=place_id:ChIJ-3CO2H1Z4joR8Rn9QBAjRWk
Lesotho,"Embassy Of Egypt In Pretoria, South Africa","270 Bourke St, Sunnyside, Pretoria, 0002, South Africa",https://www.google.com/maps/place/?q=place_id:ChIJ05NSIYJhlR4RrTGz1R29EOk
Morocco,Embassy of Egypt,"Av. Mohamed Belhassan El Ouazzani, Rabat, Morocco",https://www.google.com/maps/place/?q=place_id:ChIJC_pnLYVrpw0Ru875Pt6RHJY
"Moldova, Republic of",Embassy of Egypt,"Bulevardul Dacia 67, București 010407, Romania",https://www.google.com/maps/place/?q=place_id:ChIJXwUq-kz_sUARYS5NelAEokk
Madagascar,Embassy Of Egypt,"5FM8+4XX, Antananarivo, Madagascar",https://www.google.com/maps/place/?q=place_id:ChIJgy-cPfOB8CER8XDk1FItQHM
Mali,Embassy of Egypt,"J2C2+GC2, Bamako, Mali",https://www.google.com/maps/place/?q=place_id:ChIJq7OAbLTNUQ4RWG9iExiSqSw
Malta,Embassy of Egypt,"WF2X+366, Sir Temi Zammit Ave, Ta' Xbiex, Malta",https://www.google.com/maps/place/?q=place_id:ChIJR4c5rjVFDhMRvHXN3r3bpFs
Montserrat,Embassy of Egypt,"Panská 236, 811 01 Bratislava, Slovakia",https://www.google.com/maps/place/?q=place_id:ChIJcerlduKLbEcRE0aVz5GbzUI
Mauritius,Embassy of the Arab Republic of Egypt,"QF5P+3W7, Quatre Bornes, Mauritius",https://www.google.com/maps/place/?q=place_id:ChIJH6hPJOBafCERLLHcUVXeDcg
Malawi,Embassy of Egypt in Malawi,"2RP6+RPC, Presidential Way, Lilongwe, Malawi",https://www.google.com/maps/place/?q=place_id:ChIJ-8T0BostIBkRN0wW0OhzTe4
Malaysia,Egyptian Embassy,"15, 11, Jalan Ru, Desa Pahlawan, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",https://www.google.com/maps/place/?q=place_id:ChIJ3wVxjq43zDERcuMuVzP14_Q
Malaysia,Embassy Of Egypt,"11a, Jalan Ru, Desa Pahlawan, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",https://www.google.com/maps/place/?q=place_id:ChIJSXK1jK43zDERweRxAbLsMGc
Namibia,Embassy of Egypt,"10 Berg Street, Windhoek, Namibia",https://www.google.com/maps/place/?q=place_id:ChIJT6Z2WzQbCxwR9Uo9XD0o-qg
New Caledonia,Embassy of Egypt,"Basel St 54, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJw6AW54xLHRURtACrj2iQlVE
