Country,Embassy Name,Embassy Address,Google Maps URL
Denmark,Consulate of France,"Ny Østergade 3, 1101 København, Denmark",https://www.google.com/maps/place/?q=place_id:ChIJwwizexdTUkYR1rYz9ElcgfQ
Dominican Republic,Embassy of France,"Edificio Corporativo 2015, C. Filomena Gomez de Cova, Santo Domingo, Dominican Republic",https://www.google.com/maps/place/?q=place_id:ChIJSz_RGhaIr44REnr60Zdua7w
Algeria,Embassy of France in Algiers,"25 Chem. Abdelkader Gadouche, Hydra 16035, Algeria",https://www.google.com/maps/place/?q=place_id:ChIJn-oq8wyyjxIRO7nYIvebsus
Algeria,Résidence de l'ambassade de France,"Q2CQ+9RM, N41, El Biar 16000, Algeria",https://www.google.com/maps/place/?q=place_id:ChIJQ-w9JUeyjxIRfR4TgvpXE_Q
Egypt,Embassy of France,"29 Charles de Gaulle, Oula, Giza District, Giza Governorate 3726513, Egypt",https://www.google.com/maps/place/?q=place_id:ChIJobBhqNhGWBQR3tYrNhehf5M
Egypt,General France Consulate,"7 rue Abu Shamar, Oula, Giza District, Giza Governorate 3726512, Egypt",https://www.google.com/maps/place/?q=place_id:ChIJZf8kSORGWBQR6IeG4i8XHQU
Eritrea,Embassy of France,"Warsay street, Saba Building, 8ème étage, Asmara, Eritrea",https://www.google.com/maps/place/?q=place_id:ChIJCfOtnFLybRYRE_-jlwKuUe0
Western Sahara,Consulat Général de France / القنصلية العامة لفرنسا,"Rue Camille Cabana, Marrakesh 40001, Morocco",https://www.google.com/maps/place/?q=place_id:ChIJx3OI3uzurw0RrcQoY2hwNd8
Western Sahara,Ambassade de France / سفارة فرنسا,"1 Rue Ibn Hajar, Rabat, Morocco",https://www.google.com/maps/place/?q=place_id:ChIJ9SmKBIhspw0RRbF9iQVerpI
Western Sahara,Consulate General of France,"1 Rue Aguelmane Sidi Ali, Rabat 10000, Morocco",https://www.google.com/maps/place/?q=place_id:ChIJiWK2K3tspw0RE_UEti8s89M
Spain,Embassy of France,"C. de Salustiano Olózaga, 9, 28001 Madrid, Spain",https://www.google.com/maps/place/?q=place_id:ChIJP683qZsoQg0RrOG-F8lOl94
Spain,Consulate General of France,"Ronda de la Univ., 22b, Piso 4, 08007 Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJR_dElvOipBIRPqZWInAwz7g
Estonia,Embassy of France,"Toom-Kuninga 20, 15185 Tallinn, Estonia",https://www.google.com/maps/place/?q=place_id:ChIJKconHJqUkkYRVHAvCmLDa2Q
Ethiopia,Embassy of France,"3Q2C+G67, Angola St, Addis Ababa, Ethiopia",https://www.google.com/maps/place/?q=place_id:ChIJUw-Y8XKPSxYRF_9UK0ku_L8
Finland,Embassy of France in Helsinki,"Itäinen Puistotie 13, 00140 Helsinki, Finland",https://www.google.com/maps/place/?q=place_id:ChIJLY9Ubr8LkkYRBR8dlwIqTcI
Fiji,Embassy Of France,"Pacific House, 2nd Floor, Butt St, Suva, Fiji",https://www.google.com/maps/place/?q=place_id:ChIJsZlFwCDcG24RJDIQ2-iK_B4
France,Consulate General of France,"Cours des Bastions 2, 1205 Genève, Switzerland",https://www.google.com/maps/place/?q=place_id:ChIJE66dxixljEcRADvUQLYR2Vg
Gabon,Consulate General of France,"BP2161, Rue Ange M'ba, Libreville, Gabon",https://www.google.com/maps/place/?q=place_id:ChIJ53r2Wo07fxARliO3NWoD-tY
United Kingdom,"Embassy of France, London","58 Knightsbridge, London SW1X 7JT, United Kingdom",https://www.google.com/maps/place/?q=place_id:ChIJOeVHReIFdkgRTDavr-S5joM
United Kingdom,Embassy of France,"11 Kensington Palace Gardens, London W8 4QP, United Kingdom",https://www.google.com/maps/place/?q=place_id:ChIJaeOH4vgPdkgRtPDSKFbzJlE
Georgia,"Embassy of France, Tbilisi","49, rue, Krtsanisi St, Tbilisi 0114, Georgia",https://www.google.com/maps/place/?q=place_id:ChIJXYigFG4MREARpgHuJvNSlus
Ghana,Embassy of France,"Fourth Circular Rd, Accra, Ghana",https://www.google.com/maps/place/?q=place_id:ChIJ_____y-m-b0RhwSevaiYmPg
