Country,Embassy Name,Embassy Address,Google Maps URL
Ireland,Embassy of the Republic of Turkey in Dublin,"8 Raglan Rd, Ballsbridge, Dublin 4, D04 EA36, Ireland",https://www.google.com/maps/place/?q=place_id:ChIJpzMAYMcOZ0gRlv45S_N8CXg
Iraq,Embassy of Turkey,"892H+VR2, Baghdad, Iraq",https://www.google.com/maps/place/?q=place_id:ChIJKXoQYfp_VxURhm9VXMmtVbM
Iraq,General Consulate of Turkey in Erbil,"Ster Tower, Gulan Street، 40m Gulan St, Erbil 44001, Iraq",https://www.google.com/maps/place/?q=place_id:ChIJx03QxQ4iB0ARXd90JCYDvo0
Italy,Embassy of Turkey,"35 Ilia Chavchavadze Avenue, Tbilisi 0179, Georgia",https://www.google.com/maps/place/?q=place_id:ChIJ81EVOzFzREARn82ejvWkfjk
Italy,"Embassy of Turkey, Rome","Via Palestro, 28, 00185 Roma RM, Italy",https://www.google.com/maps/place/?q=place_id:ChIJN75EbQphLxMRbw0JOSWlbto
Italy,Embassy of Turkey,"59M5+9MG, Lefkoşa 99010",https://www.google.com/maps/place/?q=place_id:ChIJCxcTAkgX3hQRWLhjUlmjEMo
Italy,Embassy of Turkey to the Holy See,"Via Serchio, 9-11, 00198 Roma RM, Italy",https://www.google.com/maps/place/?q=place_id:ChIJE4Hi3RZhLxMRFmkAiHsRsVs
Jordan,Embassy of Turkey,"XW28+JRM, Amman, Jordan",https://www.google.com/maps/place/?q=place_id:ChIJB4WTuIBfGxURxMCWZ9zYHEw
Japan,Embassy of Turkey,"2 Chome-33-6 Jingumae, Shibuya City, Tokyo 150-0001, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ4c1v57yMGGARKkJiglhLYrI
Kazakhstan,Embassy of Turkey,"5C3M+6QM, Astana 010000, Kazakhstan",https://www.google.com/maps/place/?q=place_id:ChIJ3X5nisqGRUIRQY-BEPKwfds
Kazakhstan,Republic of Turkey,"Tole Bi Street 29, Almaty 050000, Kazakhstan",https://www.google.com/maps/place/?q=place_id:ChIJtzISRoxugzgR7FxMTFIhQ8Y
Kenya,Embassy of Turkey,"30 Gigiri Rd, Nairobi, Kenya",https://www.google.com/maps/place/?q=place_id:ChIJj8NnOrwXLxgRaWP9uIKPm5k
Kyrgyzstan,Embassy of Turkey,"89 Moskovskaya Street, Bishkek, Kyrgyzstan",https://www.google.com/maps/place/?q=place_id:ChIJb4aMec-3njgRVPW_IoeV2ps
Cambodia,Embassy of Turkey,"HW5G+7R3, Senei Vinnavaut Oum Ave (254), Phnom Penh, Cambodia",https://www.google.com/maps/place/?q=place_id:ChIJ2d_9dDpRCTERHAieKB5Gurk
"Korea, Republic of",Embassy of the Republic of Turkey in Seoul,"40 Dongho-ro 20na-gil, Jung-gu, Seoul, South Korea",https://www.google.com/maps/place/?q=place_id:ChIJz_zPfC6ifDUR3Czl_J02obU
